Pos,Num,name,Equipe,gender,Cat,Por Categoria,TOP 100,KM10,"KM21,1","KM 26,2",KM 30,"KM 34,2",time,Tempo Bruto,Vel.Média
96,10585,BRUNO AUGUSTO SALGADO,CORREDORESDAZONANORTE,Masculino,MASTM,39,TOP 100,0:42:10,1:28:42,1:50:26,2:06:22,2:23:31,2:59:40,3:00:33,"14,09"
97,11110,SERGIO ROBERTO DOS SANTOS,AVULSO,Masculino,PRE-VETM,38,TOP 100,0:40:49,1:26:47,,2:05:15,2:23:01,2:59:54,3:00:20,"14,07"
98,11102,RUI CARDOSO,,Masculino,PRE-VETM,39,TOP 100,0:41:00,1:27:18,1:49:29,2:05:43,2:23:49,2:59:55,3:00:00,"14,07"
99,10923,LUIZ CARLOS FERREIRA,NACIONAL AQUARIO PEIXES ORNAMENTAIS,Masculino,PRE-VETM,40,TOP 100,0:42:40,1:28:59,1:51:28,2:07:26,2:24:55,3:00:00,3:00:52,"14,07"
100,10720,FABIO ANTUNES,KM RUNNER,Masculino,PRE-VETM,41,TOP 100,0:42:52,1:29:42,1:51:41,2:07:37,2:24:48,3:00:09,3:03:50,"14,05"
101,11087,RODRIGO DO CARMO GODINHO,SANTITREINOS,Masculino,PRE-VETM,42,TOP 100,0:42:33,1:29:41,1:51:54,2:07:45,2:24:53,3:00:13,3:00:49,"14,05"
102,10616,CLAUDEIR ALEXANDRE SILVESTRE,CASRUN,Masculino,PRE-VETM,43,TOP 100,0:41:15,1:27:53,1:50:05,2:06:14,2:23:52,3:00:15,3:11:48,"14,05"
103,10997,OBERLAN CHRISTO ROMAO,DCELUFES,Masculino,MASTM,40,TOP 100,0:43:20,1:29:48,1:51:46,2:07:34,2:24:41,3:00:24,3:00:54,"14,04"
104,11182,LAURINDO NUNES NETO,HORBACH RUNNING,Masculino,ADULM,6,TOP 100,0:42:57,1:29:43,1:51:54,2:07:44,2:25:01,3:00:27,3:00:59,"14,03"
105,11118,THIAGO CAVALCANTE,,Masculino,MASTM,41,TOP 100,0:42:08,1:28:38,1:50:35,2:06:26,2:23:51,3:00:36,3:00:48,"14,02"
106,10850,JOSE COSTA SILVA,,Masculino,PRE-VETM,44,TOP 100,0:40:50,1:27:00,1:49:09,2:05:39,2:23:26,3:00:55,3:01:00,"13,99"
107,12215,PEDRO HENRIQUE FRANCISCO INACIO,FOTEAM,Masculino,MASTM,42,TOP 100,0:42:27,1:29:14,1:51:45,2:07:42,2:25:09,3:01:09,3:04:21,"13,98"
108,10652,DIEDSON ALMEIDA,TOP TRAINING,Masculino,MASTM,43,TOP 100,0:41:54,1:28:11,1:50:44,2:07:04,2:24:55,3:01:14,3:01:23,"13,97"
109,10829,JOAO NORBERTO DOS SANTOS JUNIOR,,Masculino,PRE-VETM,45,,0:42:51,1:29:04,1:51:15,2:07:17,2:24:48,3:01:18,3:01:38,"13,97"
110,11045,REGINALDO BATISTA GONCALVES,,Masculino,MASTM,44,,0:42:02,1:27:22,1:49:19,2:05:18,2:22:45,3:01:20,3:02:33,"13,96"
111,10982,MOISES SOUDARIO INACIO,,Masculino,PRE-VETM,46,,0:41:25,1:28:05,1:49:52,2:06:13,2:23:52,3:01:46,3:02:06,"13,93"
112,11057,RENATO UCHIKAWA,ADRIANOBASTOS,Masculino,MASTM,45,,0:42:08,1:29:25,1:51:54,2:08:09,2:25:45,3:01:49,3:01:57,"13,92"
113,10872,KENJI HAMASATO,,Masculino,PRE-VETM,47,,0:41:23,1:27:35,1:49:31,2:05:32,2:23:26,3:01:51,3:02:30,"13,92"
114,11437,CLEVERSON RICARDO DA SILVA PEREIRA,FMAOSCAVEIRAS,Masculino,PRE-VETM,48,,0:42:01,1:28:34,1:50:37,2:06:38,2:24:17,3:01:59,3:03:41,"13,91"
115,11186,RODRIGO GAZOLLI SILVA,0,Masculino,PRE-VETM,49,,0:42:10,1:29:45,1:52:35,2:08:32,2:26:08,3:02:27,3:02:32,"13,88"
116,11636,FABIO SANTOS OLIVEIRA,CORREDORESBAYER,Masculino,MASTM,46,,0:40:54,1:25:55,1:47:15,2:03:07,2:20:49,3:03:20,3:04:50,"13,81"
117,11139,VALGANIO ALVES PEREIRA,,Masculino,PRE-VETM,50,,0:42:54,1:30:14,1:53:09,2:09:30,2:27:13,3:03:35,3:05:47,"13,79"
118,11168,WILLIAM JOSIEL DOS SANTOS FELIPE,ADM PERFOMANCE RUN,Masculino,MASTM,47,,0:42:47,1:29:53,1:52:59,2:08:57,2:27:22,3:03:42,3:05:26,"13,78"
119,11027,RAFAEL AUGUSTO ARAGON RODRIGUES,,Masculino,PRE-VETM,51,,0:42:56,1:30:00,1:51:51,2:08:02,2:25:19,3:03:46,3:23:06,"13,78"
120,10802,INIVALDO SOUZA FILHO,G+ TREINAMENTO ESPORTIVO,Masculino,PRE-VETM,52,,0:44:51,1:32:31,1:54:54,2:11:05,2:28:28,3:03:49,3:03:49,"13,77"
121,10768,GENICIO SANTOS,CARCAR,Masculino,PRE-VETM,53,,0:42:26,1:29:59,1:52:42,2:09:03,2:26:46,3:03:50,3:04:23,"13,77"
122,11083,RODRIGO COSTA CARNEIRO,ID GESTAO ESPORTIVA,Masculino,PRE-VETM,54,,0:42:31,1:29:36,1:51:40,2:07:54,2:25:20,3:03:51,3:04:11,"13,77"
123,10748,FERNANDO MIRANDA,,Masculino,PRE-VETM,55,,0:42:34,1:29:50,1:52:11,2:08:48,2:26:37,3:03:56,3:04:04,"13,77"
124,11125,THIAGO NEVES DIAS,BH RACE,Masculino,MASTM,48,,0:42:56,1:29:43,1:51:44,2:07:45,2:25:13,3:04:04,3:04:37,"13,76"
125,10925,LUIZ FABIANO,,Masculino,PRE-VETM,56,,0:42:54,1:29:29,1:52:15,2:08:39,2:26:52,3:04:05,3:05:07,"13,75"
126,11129,THIAGO VOLPI FACUNDO,EDU ULTRA TEAM,Masculino,PRE-VETM,57,,0:43:13,1:30:41,1:54:56,2:11:18,2:28:53,3:04:06,3:04:52,"13,75"
127,11082,RODRIGO CHIQUIE ALI,,Masculino,PRE-VETM,58,,0:42:03,1:29:34,1:52:09,2:08:13,2:25:44,3:04:07,3:04:18,"13,75"
128,12230,RAFAEL CARNEIRO SILVA,,Masculino,PRE-VETM,59,,0:39:15,1:24:51,1:47:12,2:04:03,2:22:35,3:04:25,3:04:30,"13,73"
129,10773,GILMAR RODRIGUES DA SILVA,GILMAR RODRIGUES DA SILVA,Masculino,PRE-VETM,60,,0:40:52,1:26:47,1:52:14,2:08:34,2:26:04,3:04:29,3:05:06,"13,72"
130,11358,BRUNO PIRAGLIA FERNANDES,,Masculino,PRE-VETM,61,,0:44:50,1:31:50,1:54:20,2:10:57,2:28:41,3:04:34,3:07:35,"13,72"
131,10837,JOELCIO DIAS DOURADO,PERSONAL CENTER,Masculino,PRE-VETM,62,,0:42:13,1:30:34,1:53:15,2:10:01,2:27:45,3:04:37,3:04:42,"13,71"
132,11806,JEFFERSON RODRIGUES,PERENEL SKATE,Masculino,MASTM,49,,0:45:02,1:31:28,1:53:42,2:09:57,2:27:34,3:04:44,3:06:52,"13,70"
133,11178,ANDERSON CALIXTO DOS SANTOS,RODOBENTO TRANSPORTES,Masculino,PRE-VETM,63,,0:42:08,1:29:21,1:51:53,2:08:13,2:26:14,3:04:47,3:05:59,"13,70"
134,11508,DOUGLAS FERRO,,Masculino,MASTM,50,,0:42:14,1:28:19,1:50:45,2:07:29,2:25:56,3:04:48,3:06:40,"13,70"
135,10538,ALEXANDRE GONCALVES,WEONNUTRITION,Masculino,PRE-VETM,64,,0:41:15,1:28:28,1:52:45,2:09:13,2:27:17,3:04:51,3:05:21,"13,70"
136,11646,FELIPE DOS SANTOS MONTEIRO,BPM4RUNNING,Masculino,ADULM,7,,0:39:52,1:24:32,1:45:55,2:01:27,2:19:11,3:05:00,3:06:42,"13,69"
137,14788,PEDRO LUIZ GIORGETTO NETO,F2ACESSORIAESPORTIVA,Masculino,ADULM,8,,0:44:07,1:33:07,1:56:09,2:12:37,2:30:42,3:05:03,3:19:59,"13,68"
138,93,MICHAEL DE PAULA PASSOS,,Masculino,ELITEM,4,,0:33:47,1:12:59,1:33:08,1:51:12,,3:05:04,3:05:06,"13,68"
139,10795,HELIO MESQUITA DE FREITAS,,Masculino,VET1M,8,,0:41:43,1:27:39,1:49:52,2:05:32,2:25:00,3:05:07,3:05:43,"13,68"
140,11663,FERNANDO BUENO DE CASTRO,,Masculino,MASTM,51,,0:41:31,1:28:07,1:49:48,2:05:48,2:23:23,3:05:12,3:06:39,"13,67"
141,10555,ANDRE LUIZ PEREIRA DOS SANTOS,AVULSO,Masculino,VET1M,9,,0:42:17,1:29:45,1:52:26,2:08:55,2:27:27,3:05:15,3:05:19,"13,67"
142,11412,CICERO RENATO GOMES DE SOUZA,NAVASTRI,Masculino,PRE-VETM,65,,0:45:24,1:33:54,1:56:30,2:12:34,2:29:59,3:05:26,3:07:59,"13,65"
