Pos,Num,name,Equipe,gender,Cat,Por Categoria,TOP 100,KM10,"KM21,1","KM 26,2",KM 30,"KM 34,2",time,Tempo Bruto,Vel.Média
1611,10699,ELTON LIMA,,Masculino,MASTM,506,,0:55:03,1:53:40,2:21:50,2:43:44,3:07:10,4:03:34,4:29:54,"10,39"
1612,12459,VANDERLEI DAMIAO DE LIMA,AVULSO,Masculino,VET2M,45,,0:50:37,1:46:27,2:17:34,2:39:33,3:05:42,4:03:35,4:08:32,"10,39"
1613,13041,FRANCO BATISTA LEITE,,Masculino,VET1M,188,,0:57:51,1:59:20,2:28:26,2:50:11,3:13:31,4:03:39,4:18:13,"10,39"
1614,11302,ANDREI SPINASSE,ESPORTIVIDADE,Masculino,MASTM,507,,0:52:35,1:51:41,2:20:12,2:41:08,3:07:05,4:03:41,4:15:22,"10,39"
1615,12806,DEMETRIO PINHO,VINILOPES,Masculino,PRE-VETM,606,,0:57:02,1:59:49,2:28:37,2:50:37,3:14:08,4:03:41,4:17:22,"10,39"
1616,13625,RENATA KIOKO MATSUNAGA,,Feminino,PRE-VETF,69,,0:54:35,1:56:36,2:28:02,2:49:48,3:16:23,4:03:43,4:19:02,"10,39"
1617,14146,DANIEL FELIPE LINHARES DOS SANTOS SILVA,,Masculino,MASTM,508,,0:57:19,1:58:06,2:27:08,2:48:08,3:10:54,4:03:46,4:28:29,"10,39"
1618,12443,UGO IBUSUKI,NIPPON,Masculino,PRE-VETM,607,,0:54:48,1:55:27,2:24:40,2:46:07,3:09:59,4:03:51,4:07:47,"10,38"
1619,13424,MARCOS BUSSAB,MONTELBANO,Masculino,PRE-VETM,608,,0:58:27,2:03:50,2:34:03,2:54:56,3:18:45,4:03:52,4:20:11,"10,38"
1620,13223,JOSE LUIZ FERNANDES,PONTO CORRIDO,Masculino,VET1M,189,,0:55:00,1:55:50,2:25:38,2:47:45,3:12:20,4:03:52,4:15:29,"10,38"
1621,13588,RAFAEL OTONI GONCALVES,,Masculino,MASTM,509,,0:54:29,1:53:52,2:22:48,2:43:26,3:05:55,4:03:53,4:16:19,"10,38"
1622,15292,FABRICIO LOPES RIBEIRO,,Masculino,MASTM,510,,0:56:30,1:57:49,,2:48:48,3:14:04,4:03:55,4:16:04,"10,38"
1623,14028,ATILIO CACALLI FILHO,,Masculino,VET1M,190,,0:54:15,1:54:46,2:24:41,2:46:51,3:11:31,4:03:56,4:07:35,"10,38"
1624,12596,ANDRE ABREU,,Masculino,PRE-VETM,609,,0:56:02,1:57:50,2:26:34,2:48:49,3:14:05,4:03:56,4:16:03,"10,38"
1625,13128,HERBERT CARDENA CASAGRANDE,AVULSO,Masculino,PRE-VETM,610,,0:58:19,1:56:42,2:25:19,2:48:26,3:14:21,4:03:56,4:20:51,"10,38"
1626,15293,FABRICIO MERILIS,,Masculino,PRE-VETM,611,,0:56:02,1:57:27,2:26:19,2:47:26,3:11:13,4:03:57,4:32:11,"10,38"
1627,14031,BEATRIZ HELENA LOSCHER,MBPERSONALTRAINERS,Feminino,PRE-VETF,70,,0:58:19,2:01:00,2:31:40,2:53:49,3:17:26,4:03:58,4:28:54,"10,38"
1628,13812,VAGNER MENDES DA SILVA,AVULSO,Masculino,PRE-VETM,612,,0:55:41,1:56:36,2:26:17,2:48:35,3:13:09,4:04:02,4:16:00,"10,37"
1629,13436,MARCOS VINICIUS VENTURA,,Feminino,MASTF,65,,0:55:11,1:57:42,2:27:58,2:48:40,3:12:43,4:04:03,4:20:45,"10,37"
1630,11193,ALEX RODRIGO PEREIRA,,Masculino,PRE-VETM,613,,0:53:40,1:53:14,2:22:20,2:43:59,3:09:30,4:04:04,4:08:04,"10,37"
1631,13277,KLEBER ASSANTI,AVULSO,Masculino,PRE-VETM,614,,0:54:55,1:56:20,2:25:35,2:47:03,3:10:34,4:04:06,4:16:36,"10,37"
1632,13375,MAILA BONGIOVANNI PACINI,,Feminino,MASTF,66,,0:56:12,1:57:25,2:27:01,2:49:32,3:14:14,4:04:06,4:19:42,"10,37"
1633,14744,NELSON ALEXANDRE NACHE BARRIONUEVO MUNHOZ,OSCAVEIRAS,Masculino,VET1M,191,,,1:57:21,2:26:05,2:46:51,3:08:46,4:04:09,4:04:09,"10,37"
1634,14419,ISAAC BARROS DA SILVA,ISAAC BARROS DA SILVA,Masculino,MASTM,511,,0:58:28,2:04:17,2:35:37,2:58:04,3:21:06,4:04:09,4:21:06,"10,37"
1635,13119,HELDER ROBERTO BASTOS BERNARDINO,ADIDAS RUNNERS,Masculino,MASTM,512,,0:48:45,1:43:39,2:15:18,2:39:10,3:07:41,4:04:09,4:18:14,"10,37"
1636,14904,RONERLI MORETTI,SARUN,Feminino,PRE-VETF,71,,0:59:32,2:03:23,2:32:27,2:53:44,3:16:44,4:04:20,4:26:43,"10,36"
1637,14448,JOANA DARC RAMOS PIRES DE ALMEIDA,,Feminino,MASTF,67,,0:57:05,1:59:43,2:28:54,2:50:00,3:12:51,4:04:21,4:19:09,"10,36"
1638,14760,OSMAR APARECIDO DE PAULA SILVA,,Masculino,MASTM,513,,0:57:06,1:59:44,2:29:04,2:50:01,3:12:55,4:04:23,4:19:10,"10,36"
1639,13450,MARIA TATIANE FERREIRA,,Feminino,PRE-VETF,72,,0:55:52,1:56:38,2:25:56,2:47:15,3:11:19,4:04:25,4:20:07,"10,36"
1640,13491,MOISES GAROFALO LOPES,AVULSO,Masculino,MASTM,514,,0:54:52,1:56:53,2:25:51,2:47:22,3:11:40,4:04:26,4:18:20,"10,36"
1641,12619,ANDRE SEQUEIRA,SEM,Masculino,PRE-VETM,615,,0:56:07,1:57:35,2:27:55,2:49:54,3:14:58,4:04:27,4:18:37,"10,36"
1642,11395,CASSIANO DAMASCENO,MEVILELA,Masculino,PRE-VETM,616,,0:53:56,1:56:16,2:27:21,2:49:54,3:14:22,4:04:27,4:08:19,"10,36"
1643,12960,FABIANO HENRIQUE AGUETONI,MILHASDEMONTE,Masculino,PRE-VETM,617,,0:54:26,1:53:22,2:20:46,2:41:30,3:06:47,4:04:32,4:18:07,"10,35"
1644,12408,TATIANE SILVA,,Feminino,MASTF,68,,0:56:17,1:56:39,2:25:54,2:47:33,3:11:35,4:04:35,4:08:51,"10,35"
1645,11602,EVANDRO TOPI SANCHES,,Masculino,MASTM,515,,0:54:05,1:54:31,2:24:16,2:47:02,3:10:59,4:04:37,4:16:26,"10,35"
1646,15639,ROSANGELA ROSSI DA SILVA,FISIOSPORTS,Feminino,PRE-VETF,73,,0:55:34,1:56:47,2:27:03,2:49:19,3:13:51,4:04:39,4:27:41,"10,35"
1647,15547,PAOLO GIOVANNI BAGLIONE,PANGARRUNNERS,Masculino,PRE-VETM,618,,0:53:45,1:54:31,2:24:09,2:45:47,3:11:40,4:04:42,4:09:50,"10,35"
1648,11782,IZALTINO DE JESUS CARVALHO,,Masculino,VET1M,192,,0:55:39,1:54:55,2:24:21,2:46:25,3:11:23,4:04:45,4:07:34,"10,34"
1649,12498,WANDER OLIVEIRA,ATIVITAL,Masculino,PRE-VETM,619,,0:54:46,1:55:22,2:24:28,2:46:15,3:11:30,4:04:46,4:09:59,"10,34"
1650,13251,JULIANA LIMA FERREIRA,KM RUNNER,Feminino,MASTF,69,,0:55:37,1:58:38,2:28:53,2:51:31,3:15:44,4:04:47,4:19:46,"10,34"
1651,11538,EDUARDO BEZERRA,,Masculino,MASTM,516,,0:50:55,1:52:38,2:21:14,2:43:21,3:09:54,4:04:49,4:20:10,"10,34"
1652,10761,FRANK MAGALHAES DE PINHO,AVULSO,Masculino,PRE-VETM,620,,0:58:38,2:03:50,2:32:56,2:55:05,3:17:41,4:04:50,4:35:50,"10,34"
1653,11175,WILSON DAI MAEICHIOKA,GEOVANIBRAGA,Masculino,PRE-VETM,621,,0:48:57,1:43:58,2:14:09,2:35:30,3:01:26,4:05:01,4:05:35,"10,33"
1654,13605,RAUL FERREIRA DE MORAES,FREE RUNNERS,Masculino,MASTM,517,,0:56:03,1:57:38,2:26:37,2:47:56,3:11:31,4:05:02,4:21:14,"10,33"
1655,14062,CARLOS ALBERTO GODOY,ACORREMAR,Masculino,VET2M,46,,0:58:46,2:02:19,2:32:46,2:54:30,3:18:18,4:05:05,4:19:29,"10,33"
1656,15719,EDUARDO DE ALMEIDA BARRA CARVALHO,LIFEFORFUNILHABELA,Masculino,PRE-VETM,622,,0:50:19,1:48:49,2:17:03,2:41:22,3:09:58,4:05:05,4:31:53,"10,33"
1657,11322,ANTONIO MARCOS ALMEIDA SANTOS,AVULSO,Masculino,VET1M,193,,0:51:31,1:48:35,2:17:02,2:40:14,3:06:38,4:05:07,4:05:32,"10,33"
1658,14391,HAMILTON ALVES,,Masculino,VET2M,47,,0:56:52,2:01:02,2:31:19,2:53:33,3:17:00,4:05:08,4:30:21,"10,33"
1659,14582,LUCIANO NASCIMENTO REYES,,Masculino,PRE-VETM,623,,0:58:14,2:03:18,2:34:05,2:55:45,3:18:21,4:05:11,4:28:17,"10,33"
1660,11456,DANIEL YAGO DE CARVALHO,,Masculino,MASTM,518,,0:52:20,1:49:10,2:16:38,2:37:48,3:04:37,4:05:12,4:09:26,"10,33"
1661,13505,NATALIA SILVA MACEDO,BHRACE,Feminino,MASTF,70,,1:01:38,2:05:23,2:35:05,2:56:28,3:19:35,4:05:15,4:29:59,"10,32"
1662,11476,DAVID ROSSETI FERREIRA,TOP TRAINING,Masculino,MASTM,519,,0:49:36,1:46:50,2:15:01,2:36:37,3:01:50,4:05:18,4:14:51,"10,32"
1663,12510,ADRIANA ANDRADE,,Feminino,VET1F,18,,0:58:34,2:01:16,2:30:33,2:51:43,3:14:35,4:05:19,4:27:23,"10,32"
1664,15330,GUILHERME MOREIRA DA SILVA,,Masculino,MASTM,520,,0:57:57,2:02:19,2:32:12,2:53:53,3:17:50,4:05:21,4:30:10,"10,32"
1665,12607,ANDRE LUIS DA SILVA,TEPEGONACORRIDA,Masculino,PRE-VETM,624,,0:54:32,1:55:49,2:25:25,2:47:08,3:12:26,4:05:25,4:17:06,"10,32"
1666,11995,LUIZ APARECIDO JOAQUIM,,Masculino,VET2M,48,,0:56:50,1:59:37,2:29:20,2:52:30,3:16:05,4:05:26,4:08:30,"10,32"
1667,14717,MICHELLE GUTERRES PEREZ,ALANZONZINE,Feminino,PRE-VETF,74,,0:58:21,2:03:54,2:33:51,2:56:14,3:19:10,4:05:26,4:20:30,"10,32"
1668,10658,DJALMA FERREIRA DOS SANTOS,PE DE ATLETA,Masculino,PRE-VETM,625,,0:54:33,1:57:40,2:27:27,2:49:09,3:14:56,4:05:29,4:06:54,"10,31"
1669,15732,JOSE VOLFONGO DE SOUZA,0,Masculino,VET2M,49,,0:57:03,1:59:59,2:30:52,2:53:04,3:16:52,4:05:31,4:33:32,"10,31"
1670,12859,EDSON JORGE DA SILVA,BROTHERS RUN,Masculino,PRE-VETM,626,,0:51:54,1:49:26,2:16:53,2:40:24,3:06:50,4:05:32,4:18:16,"10,31"
1671,12966,FABIO BRUNO DOS SANTOS,RUN4YOU,Masculino,MASTM,521,,0:56:28,1:59:48,2:29:57,2:53:55,3:17:12,4:05:35,4:09:11,"10,31"
1672,13860,WELLINGTON LEVI ALVES,TON LEVI GESTAO ESPORTIVA,Masculino,MASTM,522,,0:57:41,1:59:12,2:27:50,2:48:43,3:12:07,4:05:41,4:22:45,"10,31"
1673,13376,MANOEL JOAO DA SILVA FILHO,AVULSO,Masculino,VET1M,194,,0:55:51,1:59:27,2:30:07,2:52:27,3:17:04,4:05:44,4:18:21,"10,30"
1674,12424,THIAGO SENA,CAVEIRA MARATHON TEAM,Masculino,MASTM,523,,0:57:03,1:59:35,2:31:03,2:51:42,3:15:23,4:05:47,4:07:57,"10,30"
1675,13773,TANIA DE OLIVEIRA,PARAGUAURUNNERS,Feminino,PRE-VETF,75,,0:51:56,1:53:32,2:23:01,2:46:31,3:12:39,4:05:48,4:17:21,"10,30"
1676,13615,REGINALDO LEITE SALES,,Masculino,PRE-VETM,627,,0:52:05,1:50:08,2:18:44,2:40:42,3:06:20,4:05:49,4:18:16,"10,30"
1677,12695,CARLOS ALBERTO DOS SANTOS,,Masculino,VET1M,195,,0:56:28,1:57:03,2:26:02,2:48:13,3:14:15,4:05:50,4:21:12,"10,30"
1678,11723,GUILHERME PIRES,GUI PIRES,Masculino,ADULM,85,,0:53:22,2:08:31,,2:31:52,3:00:32,4:05:50,4:17:35,"10,30"
1679,11966,LUCIANE DE PAULA,EVC,Feminino,VET1F,19,,0:57:08,1:59:49,2:29:48,2:51:28,3:15:23,4:05:51,4:07:41,"10,30"
1680,12399,TAIHOH IAN SEIMARU,SEIMARU,Masculino,ADULM,86,,0:52:17,1:51:43,2:19:59,2:43:07,3:13:09,4:05:54,4:08:01,"10,30"
1681,12364,RUBENS D FREITAS SAHARA,GALERADOINTERIOR,Masculino,PRE-VETM,628,,0:51:07,1:49:27,2:18:40,2:42:04,3:10:57,4:05:56,4:07:54,"10,29"
1682,10606,CAROLINE DE SOUSA,,Feminino,ADULF,13,,0:54:43,1:55:35,2:25:32,2:47:25,3:12:30,4:05:58,4:06:59,"10,29"
1683,15052,WHASHINGTON LUIS CARVALHO PONTES,,Masculino,PRE-VETM,629,,0:54:58,1:53:21,2:20:45,2:43:16,3:10:11,4:06:02,4:29:38,"10,29"
1684,13889,JOSE ANTONIO CARUSO DE LUCCA,0,Masculino,VET2M,50,,0:53:33,1:52:18,2:20:20,2:43:05,3:10:20,4:06:03,4:09:20,"10,29"
1685,11449,DANIEL DE SOUZA LOPES,,Masculino,VET1M,196,,0:53:38,1:53:00,2:21:49,2:43:56,3:13:57,4:06:08,4:09:01,"10,29"
1686,12065,MARCOS ANTONIO SCATENA,,Masculino,PRE-VETM,630,,0:55:28,1:56:42,2:25:31,2:46:58,3:10:16,4:06:09,4:07:48,"10,29"
1687,14823,REGINA REIS,CORPORALES,Feminino,VET1F,20,,0:58:06,2:01:48,2:31:29,2:53:24,3:16:23,4:06:10,4:23:20,"10,28"
1688,12707,CARLOS MICHEL ALBUQUERQUE PERES,MARIORUNNERSMANAUS,Masculino,VET1M,197,,0:58:38,2:00:44,2:33:05,2:55:00,3:20:06,4:06:11,4:21:43,"10,28"
1689,14517,KANDISSE MAZOLINI DE MOURA CAMARGO,,Feminino,PRE-VETF,76,,0:57:01,1:58:40,2:28:52,2:51:28,3:16:11,4:06:12,4:23:00,"10,28"
1690,11415,CINTHIA SCHMIDT,AVULSO,Feminino,PRE-VETF,77,,0:56:20,1:59:21,2:29:11,2:51:00,3:14:49,4:06:12,4:08:30,"10,28"
1691,13471,MAURICIO NOTARI GODOY,ALALMEIDAASSESSORIAESPORTIVA,Masculino,VET1M,198,,0:55:08,1:55:47,2:25:43,2:47:48,3:14:21,4:06:17,4:21:34,"10,28"
1692,11115,TERESA FRADES,AVUSLO,Feminino,PRE-VETF,78,,0:55:28,1:56:36,2:26:38,2:48:15,3:13:41,4:06:20,4:09:32,"10,28"
1693,13666,ROBERTO DELA BANDEIRA,RP MOVE,Masculino,PRE-VETM,631,,0:55:39,1:57:29,2:26:34,2:48:00,3:11:05,4:06:23,4:28:10,"10,28"
1694,11893,JULIO CESAR DA ROCHA LIMA,JOODOPULO,Masculino,MASTM,524,,0:49:52,1:45:27,2:12:02,2:32:56,3:02:14,4:06:23,4:08:50,"10,28"
1695,13040,FRANCISCO VENICIUS LIMA FREIRES,,Masculino,ADULM,87,,0:56:11,1:58:42,2:29:23,2:53:28,3:18:20,4:06:26,4:23:09,"10,27"
1696,11988,LUIS FERNANDO ZANELATO,AVULSO,Masculino,PRE-VETM,632,,0:55:46,1:58:56,2:25:55,2:46:22,3:09:17,4:06:30,4:22:52,"10,27"
1697,12404,TANIA MARIA DE JESUS,WFDEMOGIDASCRUZES,Feminino,VET1F,21,,0:51:31,1:51:32,2:20:58,2:43:28,3:09:21,4:06:32,4:16:30,"10,27"
1698,10885,LEDA LISBOA,FORTES TRAINING,Feminino,MASTF,71,,0:52:05,1:52:49,2:23:13,2:46:33,3:13:04,4:06:32,4:09:23,"10,27"
1699,11944,LINDINALVA FERREIRA DA SILVA SALES,SOLO,Feminino,PRE-VETF,79,,0:53:20,1:52:49,2:23:23,2:46:42,3:13:45,4:06:33,4:10:19,"10,27"
1700,16049,ANDRE CARNEIRO MEIRELLES,,Masculino,MASTM,525,,0:46:58,1:41:39,2:12:10,2:43:39,3:17:01,4:06:38,4:07:29,"10,27"
1701,12742,CLAUDIO R BRINCAS,ELLITE RUNNERS,Masculino,VET1M,199,,0:56:01,1:58:18,2:27:14,2:49:31,3:13:16,4:06:38,4:22:46,"10,27"
1702,11366,CAIQUE GOYA,,Masculino,ADULM,88,,0:53:55,1:52:35,2:22:09,2:44:04,3:08:02,4:06:39,4:10:54,"10,26"
1703,11249,ALEXANDRE BARROS BISPO,,Masculino,MASTM,526,,0:53:18,1:53:08,2:22:02,2:44:05,3:09:54,4:06:41,4:11:47,"10,26"
1704,13012,FERNANDO JOSE DA SILVA FILHO,,Masculino,PRE-VETM,633,,0:53:43,1:52:51,2:20:44,2:41:22,3:06:01,4:06:44,4:19:34,"10,26"
1705,14080,CAROLINE DA SILVA BASILIO,,Feminino,MASTF,72,,0:55:05,1:57:06,2:29:44,2:51:48,3:16:23,4:06:45,4:18:35,"10,26"
1706,14708,MAURICIO CHIOSINI BAGGIO,BEPPE RUNNING,Masculino,VET1M,200,,0:56:54,2:00:09,2:30:10,2:52:03,3:15:25,4:06:45,4:28:27,"10,26"
1707,15175,CAMILLA ARAUJO LOPES VIEIRA,,Feminino,PRE-VETF,80,,0:58:56,2:02:43,2:32:35,2:54:31,3:18:26,4:06:49,4:18:58,"10,26"
1708,13539,PATRICIA SIQUEIRA DE PAULA,,Feminino,MASTF,73,,0:54:33,1:54:57,2:24:42,2:47:36,3:14:37,4:06:49,4:22:17,"10,26"
1709,10919,LUIS GALDINO BARBOSA,AVULSA,Masculino,VET1M,201,,0:47:51,1:48:21,2:18:59,2:42:30,3:10:58,4:06:50,4:08:28,"10,26"
1710,14749,NIDIANE FERREIRA PEREIRA,,Feminino,PRE-VETF,81,,0:57:02,2:00:22,2:31:07,2:53:26,3:17:34,4:06:51,4:21:09,"10,26"
1711,13461,MATHEUS HENRIQUE HONORATO,CHORAOUCORRE,Masculino,ADULM,89,,0:53:53,1:49:36,2:18:06,2:41:17,3:09:59,4:06:52,4:22:01,"10,26"
1712,13658,RINALDO CESAR RODRIGUES,MOVASE,Masculino,VET1M,202,,0:54:40,1:53:10,2:23:29,2:47:39,3:14:35,4:06:52,4:19:44,"10,26"
1713,10774,GILSON FERNANDES,,Masculino,PRE-VETM,634,,0:58:56,2:03:06,2:35:13,2:57:35,3:21:52,4:06:56,4:35:43,"10,25"
1714,11364,CAIO MARCIO DAVID LOPES,TURMADOSDESENCANADOS,Masculino,PRE-VETM,635,,1:00:32,2:04:05,2:35:01,2:57:15,3:20:46,4:06:58,4:10:26,"10,25"
1715,13284,LARISSA BORGES ORTEGA,FUN SPORTS,Feminino,MASTF,74,,1:01:11,2:05:39,2:35:26,2:56:53,3:20:02,4:06:58,4:21:24,"10,25"
1716,12450,VALDIR SILVA DE OLIVEIRA,PERSONEW ASSESSORIA ESPORTIVA,Masculino,VET3M,2,,0:57:21,1:59:47,2:30:01,2:52:43,3:16:59,4:07:00,4:08:51,"10,25"
1717,11851,JOSE LAILDO DOS SANTOS,,Masculino,PRE-VETM,636,,0:47:29,1:43:41,2:11:20,2:33:04,3:01:14,4:07:01,4:19:33,"10,25"
1718,12743,CLAUDIO SIQUEIRA,CS ASSESSORIA ESPORTIVA,Masculino,PRE-VETM,637,,0:54:06,1:55:18,2:25:33,2:47:18,3:12:02,4:07:09,4:19:25,"10,24"
1719,11488,DENIS RICARDO PALERMO,EQUIPEJABAQUARADECORRIDAS,Masculino,PRE-VETM,638,,0:55:57,1:57:15,2:27:14,2:48:54,3:14:16,4:07:09,4:08:53,"10,24"
1720,12797,DANYLO TERUEL,,Masculino,MASTM,527,,0:55:45,1:56:35,2:25:54,2:48:04,3:13:18,4:07:12,4:11:48,"10,24"
1721,14569,LUCAS RAPHAEL DE VASCONCELOS SANTOS,,Masculino,MASTM,528,,0:59:45,2:03:03,2:32:41,2:54:26,3:18:06,4:07:12,4:24:51,"10,24"
1722,12356,ROSELI DOS SANTOS OLIVEIRA BUMUSSI,CERD,Feminino,PRE-VETF,82,,0:59:29,2:02:58,2:33:16,2:55:16,3:18:58,4:07:17,4:09:23,"10,24"
1723,14277,FABIO DE OLIVEIRA FRANCO,,Masculino,VET1M,203,,0:57:15,2:00:25,2:29:40,2:50:49,3:13:55,4:07:19,4:30:03,"10,24"
1724,11746,HELIO FERNANDES,MONSTROSDASCORRIDAS,Masculino,PRE-VETM,639,,0:54:06,1:53:18,2:22:11,2:44:42,3:11:05,4:07:20,4:13:08,"10,24"
1725,11243,ALEX OJEVAN,TATINHO'S RUNNERS,Masculino,MASTM,529,,0:52:41,1:50:26,2:19:23,2:42:31,3:08:31,4:07:25,4:12:34,"10,23"
1726,11327,APARECIDA RAMOS SOUZA SILVA,TATINHOS RUNNERS ASSESSORIA ESPORTIVA,Feminino,VET1F,22,,0:56:49,1:58:33,2:29:01,2:51:38,3:16:50,4:07:31,4:12:34,"10,23"
1727,12713,CAROLINE MARQUES BARROS VIEBRANTZ,,Feminino,PRE-VETF,83,,0:58:08,2:04:11,2:34:45,2:57:03,3:20:32,4:07:31,4:35:26,"10,23"
1728,10711,ERNANI PANZERI,,Masculino,VET1M,204,,0:57:03,1:59:36,2:30:04,2:53:11,3:17:54,4:07:32,4:09:42,"10,23"
1729,12977,FABIO WALDRIGUES VIEBRANTZ,,Masculino,VET1M,205,,0:58:35,2:02:34,2:34:47,2:56:55,3:20:14,4:07:33,4:35:25,"10,23"
1730,13075,GERSON MONTEIRO DE OLIVEIRA,ADMARQUITETURA,Masculino,VET1M,206,,0:53:12,1:51:35,2:18:58,2:44:43,3:10:39,4:07:35,4:19:05,"10,23"
1731,13487,MILTON CARLOS NALDI JANUARIO,LONDRINA,Masculino,MASTM,530,,0:59:33,2:05:03,2:34:16,2:56:12,3:19:36,4:07:35,4:31:03,"10,23"
1732,12718,CELINA CELIA ARAUJO,,Feminino,VET1F,23,,0:54:53,1:59:33,2:30:24,2:52:49,3:18:50,4:07:37,4:19:13,"10,22"
1733,12427,THIAGO VILELA DA CUNHA,,Masculino,MASTM,531,,0:53:55,1:53:22,2:24:33,2:47:34,3:13:55,4:07:38,4:20:40,"10,22"
1734,13937,ALEXANDRE DUMAS PEREIRA,,Masculino,PRE-VETM,640,,0:57:05,2:00:42,2:30:51,2:52:44,3:16:46,4:07:39,4:30:30,"10,22"
1735,12182,OVIDIO FERNANDES BARBOSA NETO,,Masculino,VET1M,207,,0:52:12,1:47:47,2:15:59,2:38:16,3:09:07,4:07:40,4:09:39,"10,22"
1736,11671,FERNANDO STEPHANO DE MORAIS,,Masculino,MASTM,532,,0:57:18,1:59:38,2:28:48,2:50:03,3:14:28,4:07:57,4:31:39,"10,21"
1737,12024,MARCELO COSTA GARCIA,MOVE BETTER,Masculino,VET1M,208,,0:54:25,1:55:04,2:24:04,2:45:58,3:09:55,4:08:00,4:09:47,"10,21"
1738,12560,ALINE SANDALO,BRMOVE,Feminino,MASTF,75,,0:57:23,2:00:55,2:32:00,2:55:01,3:19:49,4:08:03,4:12:53,"10,21"
1739,13142,ISMAEL AUGUSTO ORCAJO DEMAY CORDEIRO,,Masculino,MASTM,533,,0:49:21,1:44:40,2:13:59,2:46:38,3:17:58,4:08:11,4:21:34,"10,20"
1740,13814,VALDIR BALBINO GONCALVES,MOISES TEDESCHI,Masculino,VET2M,51,,0:48:49,1:46:16,2:16:58,2:40:18,3:08:50,4:08:15,4:11:02,"10,20"
1741,13377,MARCEL BELLI,DIKOMBI,Masculino,MASTM,534,,0:58:10,1:59:23,2:29:31,2:50:57,3:14:57,4:08:16,4:19:57,"10,20"
1742,12578,ANA CAROLINA NASCIMENTO,CONNECTRUN,Feminino,MASTF,76,,0:56:45,2:01:02,2:31:08,2:54:36,3:20:05,4:08:19,4:31:45,"10,20"
1743,11776,IVAN TRINDADE,METAS & OBJETIVOS,Masculino,VET1M,209,,0:56:11,1:58:39,2:29:47,2:52:26,3:18:11,4:08:21,4:10:53,"10,19"
1744,12193,PAULO CHODI HOSHINO,,Masculino,PRE-VETM,641,,0:54:21,1:56:32,2:25:52,2:47:12,3:11:57,4:08:21,4:10:16,"10,19"
1745,11042,REGIANE ALVES PINTO,STUDIO REGIANE ALVES,Feminino,MASTF,77,,0:56:19,2:02:18,2:32:45,2:54:57,3:20:08,4:08:24,4:08:50,"10,19"
1746,11209,ADILSON DELFINO PEREIRA,CORREDORESDEARUJA,Masculino,VET1M,210,,0:54:50,1:57:24,2:27:44,2:50:16,3:15:14,4:08:24,4:13:17,"10,19"
1747,13744,SERGIO MARTINS DA SILVA,,Masculino,PRE-VETM,642,,0:59:23,2:02:51,2:32:44,2:54:26,3:17:52,4:08:29,4:25:35,"10,19"
1748,10943,MARCIO DOS SANTOS,ANCHIETA,Masculino,VET1M,211,,0:54:38,1:55:21,2:26:18,2:48:53,3:14:53,4:08:35,4:12:18,"10,19"
1749,12412,THERE KOCHINSKI,CORRAMAISKM,Feminino,PRE-VETF,84,,0:57:39,2:01:57,2:32:50,2:55:15,3:19:15,4:08:35,4:13:17,"10,18"
1750,13089,GIVANILDO DE SOUZA,,Masculino,PRE-VETM,643,,0:57:39,2:00:35,2:32:02,2:54:36,3:18:49,4:08:37,4:25:28,"10,18"
1751,10796,HUMBERTO RIBEIRO DE JESUS,,Masculino,MASTM,535,,0:55:04,2:00:49,2:33:08,2:54:04,3:17:10,4:08:40,4:09:22,"10,18"
1752,15829,DAVID MARINGGELE,,Masculino,PRE-VETM,644,,0:55:30,1:55:51,2:25:02,2:47:30,3:13:43,4:08:41,4:37:23,"10,18"
1753,12311,RODRIGO DE ANDRADE VIRGA,,Masculino,PRE-VETM,645,,0:53:41,1:56:21,2:28:57,2:52:14,3:17:43,4:08:44,4:13:43,"10,18"
1754,11308,ANGELITA MARTINS ALEXANDRIA DE SOUZA,ASSESSORIA PAULO SANTOS,Feminino,VET1F,24,,0:54:59,1:57:40,2:28:20,2:50:48,3:15:26,4:08:45,4:12:22,"10,18"
1755,11927,LEANDRO FARIAS NISHIDA,,Masculino,MASTM,536,,0:57:19,1:59:14,2:31:38,2:53:05,3:16:46,4:08:46,4:24:39,"10,18"
1756,11093,RODRIGO VISCONDI,AVULSO,Masculino,PRE-VETM,646,,0:52:42,1:52:53,2:21:47,2:43:31,3:14:40,4:08:53,4:09:22,"10,17"
1757,13755,SILVIO CESAR GONCALVES DA SILVA,,Masculino,PRE-VETM,647,,0:57:19,1:59:02,2:29:04,2:50:40,3:14:15,4:08:54,4:20:27,"10,17"
1758,13610,REGINA TIEMI CHIBANA,AVULSO,Feminino,VET1F,25,,0:56:20,1:57:21,2:27:16,2:51:31,3:17:00,4:08:56,4:21:12,"10,17"
1759,13054,GABRIEL HUH,TRILOPEZ (BDO),Masculino,MASTM,537,,0:59:49,2:03:35,2:33:47,2:56:23,3:20:52,4:08:58,4:26:08,"10,17"
1760,13681,RODRIGO DE OLIVEIRA SANTOS,,Masculino,ADULM,90,,0:57:01,2:00:35,2:30:06,2:51:17,3:14:00,4:08:59,4:31:31,"10,17"
1761,13479,MAYCON ALEXANDRE DA SILVA,,Masculino,MASTM,538,,0:51:47,1:50:19,2:18:19,2:39:26,3:03:24,4:09:00,4:24:34,"10,17"
