Pos,Num,name,Equipe,gender,Cat,Por Categoria,PC1_42K,PC2_42K,PC3_42K,time,Tempo Bruto,Vel.Média
123,1686,ANDRE PERU FOURIE,,Masculino,M4044,27,0:29:35,1:23:00,2:27:59,2:57:07,2:57:17,4:13
124,1371,ANDRE CHERUBIM,,Masculino,M3539,32,0:29:39,1:22:48,2:28:02,2:57:10,2:57:33,4:13
125,3228,BRUNO PIVA BURIGO,TUBARAO RUNNERS,Masculino,M4044,28,0:28:55,1:22:03,2:27:26,2:57:11,2:58:20,4:13
126,2153,MAURO SERGIO MORACHIK,DBTRI PONTA GROSSA PR,Masculino,M2529,8,0:27:26,1:20:24,2:27:36,2:57:12,2:57:26,4:13
127,1006,RAFAEL OLIVEIRA MENEGON,4RUN ASSESSORIA ESPORTIVA,Masculino,M3034,20,0:29:30,1:23:10,2:29:16,2:57:14,2:57:23,4:13
128,246,LUDIMAR DOS SANTOS PAIM,TIME LIFEPREV - CAXIAS DO SUL,Masculino,M2529,9,0:27:37,1:18:15,2:27:13,2:57:16,2:57:33,4:13
129,2809,TIAGO MENDES CARDOSO,F3,Masculino,M3539,33,0:29:31,1:23:00,2:27:55,2:57:16,2:57:27,4:13
130,1338,WILLIAM KUHN BATISTA,RACE AGAINST TIME,Masculino,M3034,21,0:29:32,1:22:51,2:28:18,2:57:18,2:57:37,4:13
131,392,ALAX BRUNO BARBOSA FERREIRA,TRIAX,Masculino,M2529,10,0:30:28,1:24:29,2:30:07,2:57:18,2:57:27,4:13
132,2911,DIEGO TESTOLIN,IV VINUTO TRAINING,Masculino,M4044,29,0:29:25,1:22:52,2:29:40,2:57:20,2:58:00,4:13
133,2463,GUSTAVO NOVAES MARTINS FERREIRA,MPR,Masculino,M4549,11,0:28:28,1:21:30,2:27:43,2:57:21,2:57:32,4:13
134,3570,RODRIGO ALKMIM FIGUEIREDO MARTINS,O2 RUNNING,Masculino,M4549,12,0:29:04,1:22:13,2:28:17,2:57:22,2:57:39,4:13
135,3311,BRUNO VINICIUS HORTENCES DE MATTOS,SUB ELITE VANILSON NEVES,Masculino,M3539,34,0:29:32,1:22:59,2:28:52,2:57:23,2:57:36,4:13
136,3373,LUCAS RODRIGUES FRANCA,BREJATHLON,Masculino,M3034,22,0:29:34,1:23:08,2:29:19,2:57:27,2:57:48,4:13
137,1798,CAIO MODOTTI,,Masculino,M2529,11,0:29:42,1:23:19,2:29:18,2:57:28,2:57:49,4:14
138,2160,GEISON KACHAN,ATRICOR,Masculino,M4044,30,0:29:07,1:22:22,2:27:45,2:57:31,2:57:36,4:14
139,3360,NATAN PAIANCK FONTANA,CHAPARUNNERSSARUN,Masculino,M3034,23,0:29:45,1:23:22,2:29:21,2:57:31,2:57:46,4:14
140,835,LUAN FLORENCE DE MEDEIROS,,Masculino,M2529,12,0:30:37,1:24:41,2:29:47,2:57:32,2:57:40,4:14
141,611,LUIS FERNANDO THEODORO DOS REIS,ENDURANCE ON,Masculino,M2529,13,0:29:42,1:23:16,2:29:20,2:57:33,2:57:50,4:14
142,830,IAN NUNES RIBEIRO,ENDURANCE ON,Masculino,M2529,14,0:29:39,1:23:15,2:29:19,2:57:36,2:57:53,4:14
143,3407,JOAO DA LUZ ANTUNES SIQUEIRA,TM RUNERS,Masculino,M4549,13,0:30:16,1:24:45,2:29:58,2:57:38,2:58:05,4:14
144,3316,PAULO ROBERTO RODOLPHO PESSUTTO,ADRIANO BASTOS ASSESSORIA ESPORTIVA,Masculino,M3034,24,0:29:54,1:23:56,2:29:34,2:57:39,2:58:21,4:14
145,3764,OLIVIO DE MELO MARTINS,LP RUNING,Masculino,M4549,14,0:29:39,1:22:53,2:28:08,2:57:40,2:57:46,4:14
146,345,VINICIUS DAL CASTEL,2F,Masculino,M4044,31,0:29:46,1:23:10,2:28:59,2:57:40,2:57:40,4:14
147,3317,FLAVIO CHIQUETTO CONSTANT PIRES,AB TREINAMENTO ESPORTIVO,Masculino,M3034,25,0:29:54,1:23:54,2:29:33,2:57:41,2:58:23,4:14
148,2473,NILSON MADRUGA DA SILVA,CORRELAGES,Masculino,M5054,6,0:29:55,1:22:58,2:28:41,2:57:42,2:58:14,4:14
149,3627,MATEUS LUVISON,ENDURANCE ON,Masculino,M3539,35,0:29:48,1:23:26,2:29:32,2:57:43,2:57:52,4:14
150,1497,CESAR AUGUSTO DINIZ DE SOUZA,F3 ASSESSORIA ESPORTIVA,Masculino,M3034,26,0:29:55,1:23:55,2:29:35,2:57:43,2:58:25,4:14
151,1229,SANTINO CARDOSO JUIZ,EVB,Masculino,M3539,36,0:29:45,1:23:22,2:30:00,2:57:49,2:58:08,4:14
152,3500,ANDERSON SANCHES,CWB RUNNER,Masculino,M3034,27,0:27:20,1:16:28,2:20:06,2:57:50,2:58:10,4:14
153,3640,RODRIGO SANTOS VALLE,,Masculino,M3034,28,0:29:05,1:21:45,2:27:40,2:57:52,2:57:58,4:14
154,891,FERNANDO STEFFEN,STEFFEN79,Masculino,M4044,32,0:29:01,1:23:25,2:29:47,2:57:54,2:58:08,4:14
155,2264,BRUNO GALVAO SOUZA,FURUKAWA ELECTRIC LATAM,Masculino,M3539,37,0:29:11,1:22:21,2:28:26,2:58:09,2:58:17,4:14
156,751,GIL SALGADO BONIFACIO,SOU,Masculino,M3539,38,0:29:07,1:21:52,2:27:26,2:58:11,2:58:28,4:14
157,2120,LUIZ FERNANDO ARZA,SHANGHAI INFINITO,Masculino,M4044,33,0:29:50,1:23:44,2:29:34,2:58:16,2:58:24,4:14
158,1113,ROGERIO FRIAS A OLIVEIRA,4ANY1,Masculino,M5054,7,0:29:45,1:23:55,2:30:11,2:58:16,2:58:22,4:14
159,3129,JOSE RIVAILSON F SILVA,EQUIPE TOSCANO,Masculino,M4044,34,0:29:32,1:23:08,2:29:13,2:58:17,2:58:44,4:14
160,2033,HUDSON ROCHA AFONSO,TIME,Masculino,M3539,39,0:29:08,1:24:02,2:30:50,2:58:26,2:58:36,4:15
161,1940,ALEXANDRE GUIMENTI ROSA OLIVEIRA,BR ESPORTES,Masculino,M3034,29,0:28:53,1:21:39,2:26:24,2:58:27,2:58:33,4:15
162,2983,JAIME HORN JUNIOR,EQUIPE ACELERA,Masculino,M3034,30,0:28:51,1:21:58,2:29:12,2:58:27,2:58:55,4:15
163,1436,LAUDELINO ALVES DE CARVALHO JUNIOR,FLY,Masculino,M4044,35,0:29:30,1:22:49,2:28:29,2:58:38,2:58:53,4:15
164,1900,EDUARDO MARANHAO GUBERT,WEBTREINO,Masculino,M3539,40,0:30:20,1:24:21,2:30:38,2:58:48,2:59:30,4:16
